song_id,name_base,name_authorized,song_length,misc
11 28 2c 44 bf 5a 37 f3,Henshin,,,
94 7f c5 76 66 02 29 c1,Camellia,KarameL - Camellia,00:02:48,
28 0f ec 8f 63 49 5e c4,Jump!,Tecchi x Elliot Hsu - Jump!,,
43 51 5e 4d 9d d9 38 3e,Night Parade,,,
89 32 8f 0f 1f 93 bd 65,Tomori,,,
6c 87 7b 35 50 65 f9 9a,Hanbunko Hanabi,,,
6c 1f 61 9b 64 19 fc db,Sweet,,,
7a c4 5f 29 79 b5 4f 0f,Mocha,,,
63 d0 cf 57 1b 3e ee 20,Cocoro,Ironami & Milkoi - Cocoro,,
3e a0 48 f3 d0 6d bc ff,Lovelock,,,
1c 3d b9 96 14 06 87 d8,Light the Way!,Aika x Trifect - Light The Way!,00:03:34,
de 01 78 57 17 11 f5 58,New Day,KODOMOi - New Day,,
3e 5a a6 1b b7 a8 28 91,Cotton Cloud,,,
9a 7c 89 ac e9 26 48 52,MILK & COOKIE,COSMICOSMO - MILK & COOKIE,,
8f 3b 43 1a 2a bf 7d 62,Favorite Place,,,
c8 39 e8 02 a9 7f eb ca,Keep It Kawaii,NaNa - Keep It Kawaii,,
1c 05 d7 e7 c5 ed 54 df,Tea Time,Aire - Tea Time (dextrust Remix),,
7f d7 40 69 03 00 f1 89,Myself,,,
b4 dd 49 8d 41 66 91 5a,Hanbunko Hanabi,,,
59 37 32 37 80 ed e0 f5,Tea Time,,,
5e 70 57 18 ba f6 1f a4,,,,
1a 52 9d 19 da 6d 7c 96,,,,
c2 54 f5 c1 fc 5a 27 83,,,,
75 09 2e 14 2d 2b eb ae,,,,
01 c1 b2 19 03 02 1d 57,,,,
62 a7 30 84 0d a2 59 48,,,,
e0 03 3a 40 86 18 97 01,,,,
56 74 a5 2e 12 ba cf 3d,,,,
60 08 28 15 24 a1 6d 4a,Hot & Cool,,00:03:29,
50 ce 7b b1 87 45 f3 81,,,,
20 ef cd 14 de 1d 3f a6,,,,
72 5e 8c c5 0c 20 31 92,,,,
69 fa b8 9d a8 ee 56 c6,,,,
78 19 c2 81 f5 78 55 41,,,,
f0 41 56 99 fd a8 2d 54,,,,
12 91 06 44 c1 a7 64 4d,,,,
b4 83 a3 50 2c 07 44 97,,,,
4d f5 90 1a 19 45 07 14,,,,
